NodeId,Name,Type,Icon,Color,Description,Status,Position_X,Position_Y,DependencyCount,IsSelected,Category,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
NODE001,CORP-DC01,Domain Controller,🏛️,#4CAF50,Primary Domain Controller for Corp Domain,Active,100,150,8,False,Infrastructure,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE002,CORP-DC02,Domain Controller,🏛️,#4CAF50,Secondary Domain Controller for Corp Domain,Active,300,150,6,False,Infrastructure,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE003,CORP-SQL01,Database Server,🗄️,#2196F3,Primary SQL Server for production,Active,200,300,12,False,Database,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE004,CORP-EXCH01,Exchange Server,📧,#FF9800,Primary Exchange Server,Active,400,200,15,False,Messaging,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE005,CORP-FS01,File Server,📁,#9C27B0,Main file server for document storage,Active,500,350,10,False,Storage,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE006,CORP-WEB01,Web Server,🌐,#F44336,Corporate website server,Active,600,250,8,False,Web,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE007,CORP-APP01,Application Server,⚙️,#607D8B,Business application server,Active,350,400,14,False,Application,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE008,FIREWALL-01,Security Appliance,🔥,#E91E63,Primary perimeter firewall,Active,50,100,20,False,Security,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE009,SWITCH-CORE-01,Network Switch,🔗,#00BCD4,Core network switch,Active,250,50,25,False,Network,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE010,CORP-BACKUP01,Backup Server,💾,#795548,Veeam backup server,Active,150,450,5,False,Backup,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE011,CORP-HYPER01,Hyper-V Host,📦,#3F51B5,Primary virtualization host,Active,450,100,18,False,Virtualization,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE012,NAS-01,Network Storage,🗃️,#8BC34A,Primary NAS for shared storage,Active,550,450,7,False,Storage,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE013,DNS-01,DNS Server,🌍,#CDDC39,Primary DNS server,Active,100,250,22,False,Network,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE014,DHCP-01,DHCP Server,📡,#FFC107,Primary DHCP server,Active,350,50,16,False,Network,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE015,CORP-PRINT01,Print Server,🖨️,#FF5722,Network print server,Active,650,150,3,False,Print,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE016,Office 365,Cloud Service,☁️,#0078D4,Microsoft Office 365 cloud services,Active,700,300,25,False,Cloud,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE017,Internet Gateway,Network Gateway,🌐,#666666,Internet connection gateway,Active,0,200,30,False,Network,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE018,Azure AD,Cloud Directory,☁️,#0078D4,Azure Active Directory service,Active,750,200,20,False,Cloud,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE019,MONITORING-01,Monitoring Server,📊,#4CAF50,Network monitoring server,Active,200,500,12,False,Monitoring,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE020,UPS-01,Power Management,🔋,#FF9800,Primary UPS for data center,Active,400,500,15,False,Power,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE021,LEGACY-SERVER-01,Legacy Application,⚠️,#FF5722,Old inventory system,Warning,700,400,3,False,Legacy,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE022,LEGACY-SERVER-02,Legacy Database,⚠️,#D32F2F,Old customer database,Critical,750,450,2,False,Legacy,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE023,DEV-SQL01,Development Database,🧪,#2196F3,Development SQL Server,Active,800,350,4,False,Development,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE024,DEV-WEB01,Development Web,🧪,#F44336,Development web server,Active,850,250,3,False,Development,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE025,BRANCH-DC01,Branch DC,🏛️,#8BC34A,Branch office domain controller,Active,900,150,5,False,Branch,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE026,VPN Concentrator,VPN Gateway,🔒,#9C27B0,VPN access concentrator,Active,50,300,12,False,Security,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE027,Load Balancer,Load Balancer,⚖️,#607D8B,Application load balancer,Active,550,200,8,False,Network,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE028,Certificate Authority,PKI Server,🔐,#795548,Internal certificate authority,Active,300,500,6,False,Security,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE029,WSUS-01,Update Server,🔄,#03DAC6,Windows update server,Active,500,500,9,False,Updates,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
NODE030,SharePoint Server,Collaboration,🤝,#0078D4,SharePoint collaboration platform,Active,450,300,11,False,Collaboration,2025-08-19 10:30:00,DependencyGraphEngine,SES-20250819-001
