Name,Description,Status,NextRunTime,LastRunTime,IsEnabled,Executable,Arguments,WorkingDirectory,ModuleName,CompanyProfile,TriggerType,StartDate,TimeOfDay,Category,CreatedBy,CreatedDate,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
Daily User Sync,Synchronize user accounts with external systems,Ready,2025-08-20 06:00:00,2025-08-19 06:00:00,True,PowerShell.exe,"-File C:\Scripts\UserSync.ps1",C:\Scripts\,ActiveDirectoryDiscovery,Corporate,Daily,2025-01-15 00:00:00,06:00:00,Discovery,"John Smith",2025-01-15 10:30:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Weekly Infrastructure Report,Generate weekly infrastructure health report,Ready,2025-08-25 18:00:00,2025-08-18 18:00:00,True,PowerShell.exe,"-File C:\Scripts\InfraReport.ps1",C:\Scripts\,PhysicalServerDiscovery,Corporate,Weekly,2025-01-20 00:00:00,18:00:00,Reporting,"David Thompson",2025-01-20 14:22:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Database Backup Verification,Verify database backup integrity,Ready,2025-08-20 02:00:00,2025-08-19 02:00:00,True,PowerShell.exe,"-File C:\Scripts\BackupVerify.ps1",C:\Scripts\,SQLServerDiscovery,Corporate,Daily,2025-02-01 00:00:00,02:00:00,Maintenance,"Christopher Garcia",2025-02-01 09:15:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Monthly Security Audit,Perform monthly security compliance audit,Ready,2025-09-01 20:00:00,2025-08-01 20:00:00,True,PowerShell.exe,"-File C:\Scripts\SecurityAudit.ps1",C:\Scripts\,SecurityGroupAnalysis,Corporate,Monthly,2025-01-01 00:00:00,20:00:00,Security,"Andrew Harris",2025-01-10 11:20:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Application Discovery Scan,Scan for installed applications across the network,Ready,2025-08-20 22:00:00,2025-08-19 22:00:00,True,PowerShell.exe,"-File C:\Scripts\AppDiscovery.ps1",C:\Scripts\,ApplicationDiscovery,Corporate,Daily,2025-01-25 00:00:00,22:00:00,Discovery,"Ashley Moore",2025-01-25 16:45:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
File Server Cleanup,Clean up old and temporary files from file servers,Ready,2025-08-24 03:00:00,2025-08-17 03:00:00,True,PowerShell.exe,"-File C:\Scripts\FileCleanup.ps1",C:\Scripts\,FileServerDiscovery,Corporate,Weekly,2025-02-05 00:00:00,03:00:00,Maintenance,"Robert Wilson",2025-02-05 13:30:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Group Policy Refresh,Force group policy refresh on all domain computers,Ready,2025-08-20 12:00:00,2025-08-19 12:00:00,True,PowerShell.exe,"-File C:\Scripts\GPRefresh.ps1",C:\Scripts\,GPODiscovery,Corporate,Daily,2025-02-10 00:00:00,12:00:00,Configuration,"John Smith",2025-02-10 10:10:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Exchange Mailbox Report,Generate Exchange mailbox usage report,Ready,2025-08-26 07:00:00,2025-08-19 07:00:00,True,PowerShell.exe,"-File C:\Scripts\MailboxReport.ps1",C:\Scripts\,ExchangeDiscovery,Corporate,Weekly,2025-02-15 00:00:00,07:00:00,Reporting,"Sarah Johnson",2025-02-15 08:45:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Network Device Monitoring,Monitor network device health and connectivity,Ready,2025-08-20 00:30:00,2025-08-19 00:30:00,True,PowerShell.exe,"-File C:\Scripts\NetworkMonitor.ps1",C:\Scripts\,NetworkInfrastructureDiscovery,Corporate,Daily,2025-03-01 00:00:00,00:30:00,Monitoring,"David Thompson",2025-03-01 12:15:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
Certificate Expiry Check,Check for expiring certificates across the infrastructure,Ready,2025-08-22 16:00:00,2025-08-15 16:00:00,True,PowerShell.exe,"-File C:\Scripts\CertCheck.ps1",C:\Scripts\,CertificateDiscovery,Corporate,Weekly,2025-03-05 00:00:00,16:00:00,Security,"Andrew Harris",2025-03-05 14:40:00,2025-08-19 10:30:00,TaskSchedulerDiscovery,SES-20250819-001
