SimulationName,Description,Status,CreatedBy,CreatedDate,LastModified,ScenarioCount,ParameterCount,IsBaseline,Type,Probability,ExecutionTime,GeneratedDate,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
Office 365 Migration Impact,Simulate the impact of migrating to Office 365 on infrastructure and users,Draft,"Sarah Johnson",2025-08-01 10:30:00,2025-08-18 14:22:00,5,12,False,Migration,0.85,00:02:34,2025-08-18 14:25:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Legacy System Decommission,Analyze the effects of decommissioning Windows Server 2008 R2 systems,Active,"Christopher Garcia",2025-07-15 09:15:00,2025-08-17 16:45:00,8,15,True,Infrastructure,0.92,00:04:12,2025-08-17 16:50:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Network Security Upgrade,Evaluate security improvements from firewall and monitoring upgrades,Completed,"Andrew Harris",2025-06-20 11:20:00,2025-08-16 13:30:00,6,18,False,Security,0.78,00:03:45,2025-08-16 13:35:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
ERP Implementation Scenarios,Multiple scenarios for ERP system implementation approaches,Planning,"Emily Davis",2025-08-10 14:45:00,2025-08-15 10:20:00,12,25,False,Business Process,0.65,00:08:23,2025-08-15 10:30:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Data Center Consolidation,Simulate consolidation of multiple data centers into primary facility,Active,"Ryan Jackson",2025-07-05 16:10:00,2025-08-14 12:15:00,7,20,True,Infrastructure,0.88,00:05:56,2025-08-14 12:25:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Backup Infrastructure Upgrade,Analyze impact of backup system modernization,Draft,"Christopher Garcia",2025-08-12 08:30:00,2025-08-13 15:40:00,4,10,False,Infrastructure,0.91,00:02:18,2025-08-13 15:45,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Remote Work Expansion,Simulate expansion of remote work capabilities for 500+ users,Completed,"John Smith",2025-05-01 13:25:00,2025-08-12 11:30:00,9,22,False,Workforce,0.83,00:06:12,2025-08-12 11:40:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Cloud Migration Strategy,Evaluate different cloud migration approaches and timelines,Active,"David Thompson",2025-07-20 10:00:00,2025-08-11 14:50:00,15,30,True,Cloud,0.72,00:12:45,2025-08-11 15:10:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Security Policy Enhancement,Impact analysis of enhanced security policies on user productivity,Draft,"Andrew Harris",2025-08-08 12:45:00,2025-08-10 09:45:00,6,14,False,Security,0.89,00:03:28,2025-08-10 09:50:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Application Modernization,Simulate modernization of legacy applications to current platforms,Planning,"Robert Wilson",2025-07-25 15:30:00,2025-08-09 16:20:00,10,35,False,Application,0.68,00:09:15,2025-08-09 16:35:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Database Consolidation,Analyze consolidation of multiple database instances,Active,"Christopher Garcia",2025-07-30 11:15:00,2025-08-08 13:10:00,5,16,True,Database,0.86,00:04:32,2025-08-08 13:20:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
BYOD Implementation,Simulate implementation of Bring Your Own Device policies,Draft,"Ashley Moore",2025-08-05 14:40:00,2025-08-07 10:25:00,8,19,False,Policy,0.74,00:05:18,2025-08-07 10:35:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Disaster Recovery Testing,Simulate various disaster scenarios and recovery procedures,Completed,"Ryan Jackson",2025-06-10 16:55:00,2025-08-06 12:35:00,12,28,True,Disaster Recovery,0.95,00:11:22,2025-08-06 12:50:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
License Optimization,Analyze software license optimization opportunities,Active,"Emily Davis",2025-07-18 11:40:00,2025-08-05 15:45:00,7,13,False,Financial,0.81,00:03:55,2025-08-05 15:55:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Network Bandwidth Upgrade,Simulate impact of network bandwidth improvements,Planning,"David Thompson",2025-08-02 13:20:00,2025-08-04 14:20:00,6,11,False,Network,0.87,00:02:45,2025-08-04 14:30:00,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
