SimulationName,ParameterName,DisplayName,Value,DefaultValue,Type,Category,IsEnabled,Description,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
Office 365 Migration Impact,UserCount,Number of Users,487,500,Integer,Users,True,Total number of users to migrate,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Office 365 Migration Impact,MigrationDuration,Migration Duration (days),90,120,Integer,Timeline,True,Expected duration for complete migration,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Office 365 Migration Impact,TrainingHours,Training Hours per User,8,10,Integer,Training,True,Hours of training required per user,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Office 365 Migration Impact,DataMigrationGB,Data to Migrate (GB),15360,20000,Integer,Data,True,Total data volume to migrate,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Office 365 Migration Impact,CostPerUser,Cost per User License,12.5,15.0,Decimal,Financial,True,Monthly licensing cost per user,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Legacy System Decommission,ServersToDecommission,Servers to Decommission,3,5,Integer,Infrastructure,True,Number of legacy servers to decommission,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Legacy System Decommission,ApplicationsToMigrate,Applications to Migrate,15,20,Integer,Applications,True,Number of applications requiring migration,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Legacy System Decommission,DataMigrationComplexity,Data Migration Complexity,High,Medium,String,Data,True,Complexity level of data migration,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Legacy System Decommission,DowntimeHours,Expected Downtime (hours),24,48,Integer,Operations,True,Expected system downtime for migration,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Legacy System Decommission,TestingDuration,Testing Duration (days),30,45,Integer,Timeline,True,Duration for testing migrated systems,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Network Security Upgrade,FirewallCount,Number of Firewalls,2,3,Integer,Security,True,Number of firewalls to upgrade,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Network Security Upgrade,MonitoringNodes,Monitoring Nodes,12,15,Integer,Monitoring,True,Number of monitoring nodes to deploy,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Network Security Upgrade,SecurityPolicies,Security Policies to Update,25,30,Integer,Policy,True,Number of security policies requiring updates,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
Network Security Upgrade,StaffTrainingDays,Staff Training (days),5,7,Integer,Training,True,Days of security training for staff,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
ERP Implementation Scenarios,BusinessProcesses,Business Processes,45,50,Integer,Business,True,Number of business processes to map,2025-08-19 10:30:00,WhatIfSimulationEngine,SES-20250819-001
